listing_id,id,date,reviewer_id,reviewer_name,comments
7202016,58268184,2016-01-02,41297839,Travis,Kelly was an amazing host who made the stay very pleasurable. Her location is ideal for anyone visiting Seattle. Highly recommended
6939472,58698406,2016-01-03,42961746,Bo,Very good value. Near public train station. Clean home. Helpful folks. Would recommend.
-6228959,58243150,2016-01-01,35910550,Suzanne,"Great place in a great location. Exactly as pictured, and very comfortable. "
8518308,58290971,2016-01-02,37185230,Kelly,"My stay at the Cozy Bachelor pad was amazing! Dragan was a fantastic host, very communicative and made the experience very easy! I would recommend this place very much! Apartment was clean, organized and in an awesome location!! Thanks for a great stay! "
-2670365,58404761,2016-01-02,51264572,Lisa,"This B&B is better than  a 5 star hotel.  It was absolutely beautiful inside and meticulously restored.  We loved this house.  Our host, Mathew, was very helpful and while he was out of town when we arrived, he still ensured someone was there to great us.  The location is also fantastic and within a few blocks of great restaurants and boutique shops.  On a final note, the bed was very comfortable and the linens good quality.  We will definitely be back and would recommend this place to anyone."
-6004058,58411660,2016-01-02,6848429,Joy,"Marina's place was perfect for us - compact, but with everything we needed, in a charmingly converted hotel building. Check-in and out was easy, Marina was a great host!"
-6020744,58725117,2016-01-03,7454403,Finley,"Wade and his mom, JoJo, were fantastic hosts, giving me everything I needed for the perfect stay!  The apartment is easy to access (right in the middle of Capitol Hill, which is fantastic, but also walking distance to downtown-- the location is literally perfect) and the view is incredible.  It's modernly furnished and I loved it."
4236723,58253443,2016-01-01,52790726,Paul,"This place is great. Chris has been doing this for a while and it shows. Last-minute reservation to check in in no time, everything was clean, the place was nice and warm, and it was all very luxurious. Highly recommended!"
4236723,58359760,2016-01-02,33781615,Kelly,"What a perfect place to stay the night! This charming, historic house is exactly as it's pictured. We stayed in Seattle for New Years Eve and all of the beds were comfy with lots of extra blankets, and Chris encourages you to ""crank the heat"" since the house is 115 years old!

Such lovely welcoming touches like a handwritten card, snacks on the counter and water and soda in the fridge. My hungover friends savored that Sprite the next morning, let me tell you.

Chris was very easy to communicate with, and the house is only blocks from the D-line bus that is a straight shot into downtown. Short walk to all of the great food and coffee Ballard has to offer--this place is a perfect location to be steeped in Ballard awesomeness while having easy access to other parts of the city."
-8691263,58161398,2016-01-01,312655,Joshua,"If you want to explore downtown Seattle this location and apartment are awesome! Seriously. Great building/facilities. Laura was a very good host: clearly communicated everything and even let us drop our bags off early so we could go exploring. Rooms were spotless with awesome views.

The roof is amazing. You're welcome up there- and do go check it at sunrise/sunset. One tiny caveat: during a few events their is a resident guest list to get in to the roof. Like during NYE :( Other than that: super awesome!"
-4593740,58362985,2016-01-02,50077364,Natasha,"Shellie arrived on time to meet us in the parking garage down the block and specially came to meet us during the work day which we appreciated. Upon getting settled in we realized that the kitchen was barely useable. There aren't actual cooking utensils to use so my plans to cook one night ended up not happening. The bed is very uncomfortable and the pillows definitely leave much to be desired so bring your own if you're picky. The shower head was extremely low pressure, and the towels in the bathroom were wet when we arrived. There is cable but no HD or DVR services, so that was a letdown as well. The actual building was great and had a nice location...but overall I wouldn't stay here again."
-6836330,58649269,2016-01-03,51220265,Aly,"The listing is exactly as advertised - very cozy little home, quiet neighborhood, adorable kitties. We really appreciated the extra heater in the bathroom and the coffee/tea and granola for us in the morning! Nice comfy bed, and an overall great experience. 

The house is a little far from anything - at least we weren't able to find groceries or anything close by, although we weren't there for very long, and this didn't really affect our stay. 


"
6762958,58197485,2016-01-01,1286876,Randi,Loved the place. Modern and updated. Had complimentary root beer and beer. Nice bath with heated floors. Nice back yard that could be cool if it wasn't the winter time. Only one complaint is that the bed was too small for two people. Unless your a couple who doesn't move at all at night it was just to hard for us.
