DATE,PRCP,TMAX,TMIN,RAIN,Scale
2016-01-01,0.0,46,28,False,F
2016-01-02,0.0,42,25,False,F
2016-01-03,0.02,40,31,True,F
2016-01-04,0.15,38,35,True,F
2016-01-05,0.11,46,36,True,F
2016-01-06,0.0,53,37,False,F
2016-01-07,0.0,44,34,False,F
2016-01-08,0.0,48,36,False,F
2016-01-09,0.0,49,30,False,F
2016-01-10,0.0,52,38,False,F
2016-01-11,0.16,47,35,True,F
2016-01-12,0.51,48,40,True,F
2016-01-13,0.75,54,41,True,F
2016-01-14,0.0,48,36,False,F
2016-01-15,0.05,47,33,True,F
2016-01-16,0.4,52,42,True,F
2016-01-17,0.33,49,43,True,F
2016-01-18,0.06,52,43,True,F
2016-01-19,0.49,47,42,True,F
2016-01-20,0.27,50,40,True,F
2016-01-21,1.15,53,45,True,F
2016-01-22,0.26,55,44,True,F
2016-01-23,0.77,46,43,True,F
2016-01-24,0.0,50,37,False,F
2016-01-25,0.0,55,38,False,F
2016-01-26,0.3,56,46,True,F
2016-01-27,0.82,58,49,True,F
2016-01-28,0.61,56,46,True,F
2016-01-29,0.19,49,41,True,F
2016-01-30,0.05,46,38,True,F
2016-01-31,0.0,45,37,False,F
2016-02-01,0.01,45,38,True,F
2016-02-02,0.01,50,35,True,F
2016-02-03,0.53,47,39,True,F
2016-02-04,0.33,49,42,True,F
2016-02-05,0.14,52,39,True,F
2016-02-06,0.0,48,39,False,F
2016-02-07,0.0,52,34,False,F
2016-02-08,0.0,59,39,False,F
2016-02-09,0.0,63,38,False,F
2016-02-10,0.13,56,46,True,F
2016-02-11,0.48,55,45,True,F
2016-02-12,0.8,57,47,True,F
2016-02-13,0.49,50,43,True,F
2016-02-14,0.15,53,47,True,F
2016-02-15,0.46,54,49,True,F
2016-02-16,0.0,54,48,False,F
2016-02-17,0.47,63,47,True,F
2016-02-18,0.12,51,44,True,F
2016-02-19,0.4,50,39,True,F
2016-02-20,0.0,51,38,False,F
2016-02-21,0.05,50,35,True,F
2016-02-22,0.17,51,36,True,F
2016-02-23,0.0,58,34,False,F
2016-02-24,0.02,57,43,True,F
2016-02-25,0.0,62,39,False,F
2016-02-26,0.17,57,44,True,F
2016-02-27,0.13,56,47,True,F
2016-02-28,0.82,50,40,True,F
2016-02-29,0.09,53,42,True,F
2016-03-01,0.81,14,6,True,C
2016-03-02,0.28,12,7,True,C
2016-03-03,0.03,14,9,True,C
2016-03-04,0.16,13,6,True,C
2016-03-05,0.19,18,8,True,C
2016-03-06,0.16,15,6,True,C
2016-03-07,0.2,11,4,True,C
2016-03-08,0.14,12,4,True,C
2016-03-09,0.93,13,6,True,C
2016-03-10,0.23,13,6,True,C
2016-03-11,0.32,16,2,True,C
2016-03-12,0.15,10,4,True,C
2016-03-13,0.62,12,4,True,C
2016-03-14,0.25,8,4,True,C
2016-03-15,0.0,10,3,False,C
2016-03-16,0.0,12,4,False,C
2016-03-17,0.0,14,1,False,C
2016-03-18,0.0,17,8,False,C
2016-03-19,0.0,16,10,False,C
2016-03-20,0.17,12,9,True,C
2016-03-21,0.34,13,8,True,C
2016-03-22,0.0,13,7,False,C
2016-03-23,0.23,11,7,True,C
2016-03-24,0.0,11,6,False,C
2016-03-25,0.0,13,6,False,C
2016-03-26,0.13,14,6,True,C
2016-03-27,0.18,13,4,True,C
2016-03-28,0.0,13,3,False,C
2016-03-29,0.0,17,4,False,C
2016-03-30,0.0,20,6,False,C
2016-03-31,0.0,22,8,False,C
2016-04-01,0.0,22,9,False,C
2016-04-02,0.0,17,8,False,C
2016-04-03,0.16,20,7,True,C
2016-04-04,0.03,14,7,True,C
2016-04-05,0.0,13,7,False,C
2016-04-06,0.0,21,7,False,C
2016-04-07,0.0,26,10,False,C
2016-04-08,0.0,24,10,False,C
2016-04-09,0.0,18,8,False,C
2016-04-10,0.0,14,8,False,C
2016-04-11,0.0,14,9,False,C
2016-04-12,0.32,14,7,True,C
2016-04-13,0.1,14,7,True,C
2016-04-14,0.15,15,7,True,C
2016-04-15,0.0,15,8,False,C
2016-04-16,0.0,19,7,False,C
2016-04-17,0.0,27,9,False,C
2016-04-18,0.0,32,12,False,C
2016-04-19,0.0,29,13,False,C
2016-04-20,0.0,27,12,False,C
2016-04-21,0.0,22,11,False,C
2016-04-22,0.0,17,11,False,C
2016-04-23,0.01,18,11,True,C
2016-04-24,0.3,13,8,True,C
2016-04-25,0.11,15,7,True,C
2016-04-26,0.0,15,6,False,C
2016-04-27,0.0,17,9,False,C
2016-04-28,0.0,17,10,False,C
2016-04-29,0.01,16,9,True,C
2016-04-30,0.0,19,7,False,C
2016-05-01,0.0,26,10,False,C
2016-05-02,0.0,31,12,False,C
2016-05-03,0.0,22,13,False,C
2016-05-04,0.0,16,11,False,C
2016-05-05,0.0,20,9,False,C
2016-05-06,0.0,25,10,False,C
2016-05-07,0.0,28,11,False,C
2016-05-08,0.03,19,9,True,C
2016-05-09,0.0,19,8,False,C
2016-05-10,0.0,24,8,False,C
2016-05-11,0.0,27,11,False,C
2016-05-12,0.0,24,9,False,C
2016-05-13,0.0,29,10,False,C
2016-05-14,0.02,14,12,True,C
2016-05-15,0.02,13,11,True,C
2016-05-16,0.06,15,10,True,C
2016-05-17,0.0,21,11,False,C
2016-05-18,0.0,18,11,False,C
2016-05-19,0.5,17,9,True,C
2016-05-20,0.0,19,9,False,C
2016-05-21,0.21,14,10,True,C
2016-05-22,0.0,19,11,False,C
2016-05-23,0.0,19,12,False,C
2016-05-24,0.0,19,13,False,C
2016-05-25,0.0,18,12,False,C
2016-05-26,0.0,17,11,False,C
2016-05-27,0.0,18,9,False,C
2016-05-28,0.1,17,9,True,C
2016-05-29,0.0,18,11,False,C
2016-05-30,0.0,22,9,False,C
2016-05-31,0.0,27,11,False,C
2016-06-01,0.04,74,55,True,F
2016-06-02,0.01,70,58,True,F
2016-06-03,0.0,82,56,False,F
2016-06-04,0.0,85,62,False,F
2016-06-05,0.0,93,64,False,F
2016-06-06,0.0,88,62,False,F
2016-06-07,0.0,84,59,False,F
2016-06-08,0.01,67,55,True,F
2016-06-09,0.13,64,51,True,F
2016-06-10,0.18,65,49,True,F
2016-06-11,0.0,67,50,False,F
2016-06-12,0.0,70,53,False,F
2016-06-13,0.0,65,49,False,F
2016-06-14,0.02,60,47,True,F
2016-06-15,0.0,66,44,False,F
2016-06-16,0.0,70,51,False,F
2016-06-17,0.14,69,50,True,F
2016-06-18,0.0,66,52,False,F
2016-06-19,0.0,72,48,False,F
2016-06-20,0.55,75,55,True,F
2016-06-21,0.0,71,54,False,F
2016-06-22,0.0,75,55,False,F
2016-06-23,0.35,68,53,True,F
2016-06-24,0.34,69,52,True,F
2016-06-25,0.0,72,56,False,F
2016-06-26,0.0,80,56,False,F
2016-06-27,0.0,85,58,False,F
2016-06-28,0.0,76,54,False,F
2016-06-29,0.0,72,55,False,F
2016-06-30,0.0,73,55,False,F
